id	clade	short-clade	subclade	country	iso_3166_1_alpha2
A/South_Africa/R06350/2023	3C.2a1b.2a.2a.1b	2a.1b	G.1.1.2	South Africa	ZA
A/South_Africa/R05919/2023	3C.2a1b.2a.2a.1b	2a.1b	G.1.1.2	South Africa	ZA
A/South_Africa/R06034/2023	3C.2a1b.2a.2a.3a.1	2a.3a.1	J	South Africa	ZA
A/South_Africa/R06206/2023	3C.2a1b.2a.2a.3a.1	2a.3a.1	J	South Africa	ZA
A/South_Africa/R05916/2023	3C.2a1b.2a.2a.3a.1	2a.3a.1	J	South Africa	ZA
A/South_Africa/R06033/2023	3C.2a1b.2a.2a.3a.1	2a.3a.1	J	South Africa	ZA
A/South_Africa/R06195/2023	3C.2a1b.2a.2a.3a.1	2a.3a.1	J	South Africa	ZA
A/South_Africa/R05915/2023	3C.2a1b.2a.2a	2a	G.1	South Africa	ZA
A/South_Africa/R06028/2023	3C.2a1b.2a.2b	2b	G.2	South Africa	ZA
A/South_Africa/R06185/2023	3C.2a1b.2a.2a.3a.1	2a.3a.1	J	South Africa	ZA
A/South_Africa/R05906/2023	3C.2a1b.2a.2a.3a.1	2a.3a.1	J	South Africa	ZA
A/South_Africa/R06027/2023	3C.2a1b.2a.2a.3a.1	2a.3a.1	J	South Africa	ZA
A/South_Africa/R06174/2023	3C.2a1b.2a.2b	2b	G.2	South Africa	ZA
A/South_Africa/R05900/2023	3C.2a1b.2a.2a.3a.1	2a.3a.1	J	South Africa	ZA
A/South_Africa/R06026/2023	3C.2a1b.2a.2a.3a.1	2a.3a.1	J	South Africa	ZA
A/South_Africa/R06173/2023	3C.2a1b.2a.2a.3a.1	2a.3a.1	J	South Africa	ZA
A/South_Africa/R05890/2023	3C.2a1b.2a.2a.3a.1	2a.3a.1	J	South Africa	ZA
A/South_Africa/R06024/2023	3C.2a1b.2a.2a.3a.1	2a.3a.1	J	South Africa	ZA
A/South_Africa/R06172/2023	3C.2a1b.2a.2a.3a.1	2a.3a.1	J	South Africa	ZA
A/South_Africa/R05887/2023	3C.2a1b.2a.2a.3a.1	2a.3a.1	J	South Africa	ZA
A/South_Africa/R06022/2023	3C.2a1b.2a.2a.3a.1	2a.3a.1	J	South Africa	ZA
A/South_Africa/R06168/2023	3C.2a1b.2a.2a.3a.1	2a.3a.1	J	South Africa	ZA
A/South_Africa/R05886/2023	3C.2a1b.2a.2a.3a.1	2a.3a.1	J	South Africa	ZA
A/South_Africa/R06020/2023	3C.2a1b.2a.2a.3a.1	2a.3a.1	J	South Africa	ZA
A/South_Africa/R06165/2023	3C.2a1b.2a.2a.3a.1	2a.3a.1	J	South Africa	ZA
A/South_Africa/R05884/2023	3C.2a1b.2a.2a.3a.1	2a.3a.1	J	South Africa	ZA
A/South_Africa/R06016/2023	3C.2a1b.2a.2a.3a.1	2a.3a.1	J	South Africa	ZA
A/South_Africa/R06157/2023	3C.2a1b.2a.2a.3a.1	2a.3a.1	J	South Africa	ZA
A/South_Africa/R05883/2023	3C.2a1b.2a.2a.1b	2a.1b	G.1.1.2	South Africa	ZA
A/South_Africa/R06014/2023	3C.2a1b.2a.2a.3a.1	2a.3a.1	J	South Africa	ZA
A/South_Africa/R06155/2023	3C.2a1b.2a.2a.3a.1	2a.3a.1	J	South Africa	ZA
A/South_Africa/R05877/2023	3C.2a1b.2a.2a.3a.1	2a.3a.1	J	South Africa	ZA
A/South_Africa/R06137/2023	3C.2a1b.2a.2a.3a.1	2a.3a.1	J	South Africa	ZA
A/South_Africa/R06009/2023	3C.2a1b.2a.2a.3a.1	2a.3a.1	J	South Africa	ZA
A/South_Africa/R05876/2023	3C.2a1b.2a.2a.3a.1	2a.3a.1	J	South Africa	ZA
A/South_Africa/R06122/2023	3C.2a1b.2a.2a.3a.1	2a.3a.1	J	South Africa	ZA
A/South_Africa/R06008/2023	3C.2a1b.2a.2a.3a.1	2a.3a.1	J	South Africa	ZA
A/South_Africa/R05854/2023	3C.2a1b.2a.2a.3a.1	2a.3a.1	J	South Africa	ZA
A/South_Africa/R06121/2023	3C.2a1b.2a.2a.3a.1	2a.3a.1	J	South Africa	ZA
A/South_Africa/R06007/2023	3C.2a1b.2a.2a.3a.1	2a.3a.1	J	South Africa	ZA
A/South_Africa/R05850/2023	3C.2a1b.2a.2a.3a.1	2a.3a.1	J	South Africa	ZA
A/South_Africa/R06118/2023	3C.2a1b.2a.2a.3a.1	2a.3a.1	J	South Africa	ZA
A/South_Africa/R06003/2023	3C.2a1b.2a.2a.3a.1	2a.3a.1	J	South Africa	ZA
A/South_Africa/R05848/2023	3C.2a1b.2a.2a.3a.1	2a.3a.1	J	South Africa	ZA
A/South_Africa/R06113/2023	3C.2a1b.2a.2b	2b	G.2	South Africa	ZA
A/South_Africa/R06001/2023	3C.2a1b.2a.2a.3a.1	2a.3a.1	J	South Africa	ZA
A/South_Africa/R05847/2023	3C.2a1b.2a.2a.3a.1	2a.3a.1	J	South Africa	ZA
A/South_Africa/R05825/2023	3C.2a1b.2a.2a.3a.1	2a.3a.1	J	South Africa	ZA
A/South_Africa/R05999/2023	3C.2a1b.2a.2a.3a.1	2a.3a.1	J	South Africa	ZA
A/South_Africa/R05819/2023	3C.2a1b.2a.2a.3a.1	2a.3a.1	J	South Africa	ZA
A/South_Africa/R05991/2023	3C.2a1b.2a.2a.3a.1	2a.3a.1	J	South Africa	ZA
A/South_Africa/R05808/2023	3C.2a1b.2a.2b	2b	G.2	South Africa	ZA
A/South_Africa/R05983/2023	3C.2a1b.2a.2a.3a.1	2a.3a.1	J	South Africa	ZA
A/South_Africa/R05794/2023	3C.2a1b.2a.2a.3a.1	2a.3a.1	J	South Africa	ZA
A/South_Africa/R05786/2023	3C.2a1b.2a.2a.3a.1	2a.3a.1	J	South Africa	ZA
A/South_Africa/R05978/2023	3C.2a1b.2a.2a.3a.1	2a.3a.1	J	South Africa	ZA
A/South_Africa/R05785/2023	3C.2a1b.2a.2a.1b	2a.1b	G.1.1.2	South Africa	ZA
A/South_Africa/R05973/2023	3C.2a1b.2a.2a.3a.1	2a.3a.1	J	South Africa	ZA
A/South_Africa/R05972/2023	3C.2a1b.2a.2a.3a.1	2a.3a.1	J	South Africa	ZA
A/South_Africa/R05779/2023	3C.2a1b.2a.2b	2b	G.2	South Africa	ZA
A/South_Africa/R05971/2023	3C.2a1b.2a.2a.3a.1	2a.3a.1	J	South Africa	ZA
A/South_Africa/R05771/2023	3C.2a1b.2a.2a.3a.1	2a.3a.1	J	South Africa	ZA
A/South_Africa/R05970/2023	3C.2a1b.2a.2b	2b	G.2	South Africa	ZA
A/South_Africa/R05760/2023	3C.2a1b.2a.2a.3a.1	2a.3a.1	J	South Africa	ZA
A/South_Africa/R05757/2023	3C.2a1b.2a.2a.3a.1	2a.3a.1	J	South Africa	ZA
A/South_Africa/R05952/2023	3C.2a1b.2a.2a.3a.1	2a.3a.1	J	South Africa	ZA
A/South_Africa/R05755/2023	3C.2a1b.2a.2a.3a.1	2a.3a.1	J	South Africa	ZA
A/South_Africa/R05950/2023	3C.2a1b.2a.2a.3a.1	2a.3a.1	J	South Africa	ZA
A/South_Africa/R05736/2023	3C.2a1b.2a.2a.3a.1	2a.3a.1	J	South Africa	ZA
A/South_Africa/R05949/2023	3C.2a1b.2a.2a.3a.1	2a.3a.1	J	South Africa	ZA
A/South_Africa/R05735/2023	3C.2a1b.2a.2a.3a.1	2a.3a.1	J	South Africa	ZA
A/South_Africa/R05948/2023	3C.2a1b.2a.2a.3a.1	2a.3a.1	J	South Africa	ZA
A/South_Africa/R05722/2023	3C.2a1b.2a.2a.3a.1	2a.3a.1	J	South Africa	ZA
A/South_Africa/R05945/2023	3C.2a1b.2a.2a.3a.1	2a.3a.1	J	South Africa	ZA
A/South_Africa/R05704/2023	3C.2a1b.2a.2a.1b	2a.1b	G.1.1.2	South Africa	ZA
A/South_Africa/R05943/2023	3C.2a1b.2a.2a.3a.1	2a.3a.1	J	South Africa	ZA
A/South_Africa/R05515/2023	3C.2a1b.2a.2a.3a.1	2a.3a.1	J	South Africa	ZA
A/South_Africa/R05933/2023	3C.2a1b.2a.2a.3a.1	2a.3a.1	J	South Africa	ZA
A/South_Africa/R05510/2023	3C.2a1b.2a.2a.3a.1	2a.3a.1	J	South Africa	ZA
A/South_Africa/R05509/2023	3C.2a1b.2a.2a.3a.1	2a.3a.1	J	South Africa	ZA
A/South_Africa/R05507/2023	3C.2a1b.2a.2a.3a.1	2a.3a.1	J	South Africa	ZA
A/South_Africa/R05494/2023	3C.2a1b.2a.2a.3a.1	2a.3a.1	J	South Africa	ZA
A/South_Africa/R05493/2023	3C.2a1b.2a.2a.3a.1	2a.3a.1	J	South Africa	ZA
A/South_Africa/R05485/2023	3C.2a1b.2a.2a.3a.1	2a.3a.1	J	South Africa	ZA
A/South_Africa/R05484/2023	3C.2a1b.2a.2a.3a.1	2a.3a.1	J	South Africa	ZA
A/South_Africa/R05481/2023	3C.2a1b.2a.2a.3a.1	2a.3a.1	J	South Africa	ZA
A/South_Africa/R05479/2023	3C.2a1b.2a.2a.1b	2a.1b	G.1.1.2	South Africa	ZA
A/South_Africa/R05474/2023	3C.2a1b.2a.2a.3a.1	2a.3a.1	J	South Africa	ZA
A/South_Africa/R05467/2023	3C.2a1b.2a.2a.3a.1	2a.3a.1	J	South Africa	ZA
A/South_Africa/R05466/2023	3C.2a1b.2a.2a.3a.1	2a.3a.1	J	South Africa	ZA
A/South_Africa/R05309/2023	3C.2a1b.2a.2a.3a.1	2a.3a.1	J	South Africa	ZA
A/South_Africa/R05223/2023	3C.2a1b.2a.2a.3a.1	2a.3a.1	J	South Africa	ZA
A/South_Africa/R05043/2023	3C.2a1b.2a.2a.3a.1	2a.3a.1	J	South Africa	ZA
A/Lusaka/04-NIC-402/2023	3C.2a1b.2a.2a.3a.1	2a.3a.1	J	Zambia	ZM
A/Kenya/KNH12884/Human/2025	3C.2a1b.2a.2a.3a.1	2a.3a.1	J	Kenya	KE
